,Average Temperature,Maximum temperature,Minimum temperature,Atmospheric pressure at sea level,Average relative humidity,Total rainfall and / or snowmelt,Average visibility,Average wind speed,Maximum sustained wind speed,PM2.5 AQI Value,AQI Category
3793,-10.8,-7,-14,1008.2,87,0.76,15.4,0.4,5.4,69.0,Moderate
3797,-35.3,-25,-41.7,1006.2,-,0,12.9,1.5,9.4,76.0,Moderate
3798,-35.1,-28.9,-41.7,1023.6,-,0,10.9,0.7,5.4,64.0,Moderate
3799,-35.7,-28.3,-42.2,1027.3,-,0.25,12.9,0.6,7.6,135.0,Unhealthy for Sensitive Groups
3803,-23.1,-11,-32,1014.8,82,3.05,13.5,0.7,13,69.0,Moderate
3804,-23.1,-12.8,-33.3,1018.9,76,0.25,13.2,6.9,29.4,59.0,Moderate
3805,-12.3,-6,-17.2,1016.7,79,10.67,4.3,9.4,46.5,17.0,Good
3809,-5.5,0,-19.4,1020.3,74,3.81,12.1,14.1,46.5,92.0,Moderate
3810,-14,0,-19.4,1031,67,3.05,9.8,31.7,51.9,77.0,Moderate
3811,-25.9,-12.2,-34.4,1045.4,72,0,15,4.4,20.6,72.0,Moderate
3814,-28.5,-17.2,-35.6,1038.3,77,0,16.1,0.4,5.4,126.0,Unhealthy for Sensitive Groups
3815,-24.8,-15,-33.3,1028.5,72,0,16.1,0.4,5.4,107.0,Unhealthy for Sensitive Groups
3816,-25.4,-13,-32,1023.7,69,0,16.1,1.3,9.4,73.0,Moderate
3820,-18.4,-4.4,-26.1,1021,68,0,16.1,0.6,7.6,64.0,Moderate
3821,-15.4,-4,-24,1018.7,66,0,16.1,6.3,20.6,52.0,Moderate
3822,-13.9,-4.4,-26.1,1021.5,51,0,16.1,8.7,27.8,42.0,Good
3826,-18.9,-6.7,-28.9,1012.2,54,0,16.1,1.7,13,56.0,Moderate
3827,-17.9,-6.1,-28.9,1008.3,52,0,16.1,9.4,18.3,43.0,Good
3828,-15.4,-4.4,-26.1,1003.8,53,0,16.1,10.6,20.6,57.0,Moderate
3832,-12.7,-1.1,-25.6,1020.5,60,0,16.1,2.2,9.4,59.0,Moderate
3833,-9.9,2.2,-20.6,1014.4,66,0,16.1,9.6,13,53.0,Moderate
3834,-9.6,2.2,-22.2,1006.1,55,0,16.1,3.1,11.1,48.0,Good
3838,-6.7,5.6,-17.2,1004,61,0,16.1,1.9,7.6,43.0,Good
3839,-6.9,2.8,-16.1,1003.7,68,0,16.1,1.3,9.4,33.0,Good
3840,-7,-0.6,-13.3,1005,71,0,16.1,3.7,11.1,56.0,Moderate
3844,-2.6,2.2,-7.8,994.6,73,0,11.7,19.1,25.9,29.0,Good
3846,-14.9,-4.4,-26.1,1013.7,51,0,16.1,3.5,16.5,53.0,Moderate
3847,-8.9,2.8,-22.8,1011.6,46,0,16.1,1.9,11.1,45.0,Good
3848,-3.1,7.2,-16.7,999.7,53,0,16.1,3.1,7.6,34.0,Good
3852,-8.4,1.7,-16.1,1003.6,60,0,15.6,10.7,16.5,30.0,Good
3853,0.6,6.7,-1.1,991.5,84,1.02,11.6,7.2,16.5,22.0,Good
3854,0.2,7.2,-5,992.2,61,0.76,16.1,10.2,18.3,17.0,Good
3858,-6.8,-1.1,-10.6,1017.9,51,0,16.1,17.8,27.8,22.0,Good
3860,-1.5,5.6,-9.4,1025.3,51,0,16.1,18,31.7,39.0,Good
3864,2.7,6.7,-2.2,1017.1,47,0,16.1,10.7,18.3,20.0,Good
3865,0.7,6.7,-4.4,1012.8,42,0,16.1,12.4,18.3,16.0,Good
3866,-0.9,3.9,-5,1006.6,49,0,16.1,14.3,22.2,25.0,Good
3870,6.5,15,-1.1,998.3,49,0,16.1,6.5,18.3,20.0,Good
3871,6.5,12.8,-0.5,1002.2,54,0,16.1,5.7,13,21.0,Good
3872,5.6,12.2,-0.6,1011.4,71,0,15.1,5.9,14.8,31.0,Good
3877,7.5,14.4,-1,1015.7,56,0,16.1,9.4,22.2,12.0,Good
3878,4.6,10.6,-1.1,1010.4,66,0,16.1,4.6,20.6,19.0,Good
3879,4.4,10.6,-1,1007.5,71,0,15.8,9.4,18.3,18.0,Good
3883,8.3,12.8,4.4,1005.9,41,0,16.1,21.3,37,12.0,Good
3884,2.3,10,-3.9,1012.3,46,0,16.1,5.9,18.3,15.0,Good
3885,6.7,12.8,-3.8,1009.8,33,0,16.1,5.4,14.8,23.0,Good
3889,6.4,11.1,0.6,1025.5,43,0,16.1,18.9,35.2,12.0,Good
3890,8.3,16.7,0,1017.6,42,0,16.1,8.1,14.8,10.0,Good
3891,10.4,18.3,0.6,1006.8,36,0,16.1,6.5,14.8,21.0,Good
3895,15.2,21.1,8.3,1009.2,30,0,16.1,4.1,11.1,16.0,Good
3896,15.7,21.1,8.3,1008.3,42,0,16.1,8,29.4,12.0,Good
3897,15.1,23.3,7.2,1013,29,0.25,16.1,10.2,29.4,25.0,Good
3901,18.2,26.1,9.4,1008,49,0.76,15.9,8.5,35.2,22.0,Good
3902,19,26.1,10,1005.2,41,0,16.1,5.7,13,27.0,Good
3903,19.9,27.8,9.4,1008.6,34,0,16.1,4.1,14.8,38.0,Good
3907,19.4,26.1,11.1,1012.4,48,0,16.1,5.6,24.1,56.0,Moderate
3909,21.1,27.2,11.1,1003.5,33,0,15.1,8.3,22.2,61.0,Moderate
3910,15.8,23.9,11.7,1008.2,55,0,15.3,6.1,14.8,20.0,Good
3911,16.1,22.2,12.2,1007.7,39,0,16.1,16.7,25.9,17.0,Good
